Freq,Burst,Centrality,Sigma,PageRank,Keyword,Author,Year,Title,Source,Vol,Page,Half-life,ClusterID
1,,0,1,0,,安徽财经大学法学院,2015,<html><b>...</b></html>,SO,0,0,0,-1
1,,0,1,0,,安徽财经大学国际经济贸易学院,2011,<html><b>...</b></html>,SO,0,0,0,-1
1,,0,1,0,,安徽财经大学信息工程学院,2012,<html><b>...</b></html>,SO,0,0,0,-1
5,,0,1,0,,安徽大学,2001,<html><b>...</b></html>,SO,0,0,5,-1
1,,0,1,0,,安徽大学法学院,2014,<html><b>...</b></html>,SO,0,0,0,-1
3,,0,1,0,,安徽大学管理学院,2009,<html><b>...</b></html>,SO,0,0,0,-1
2,,0,1,0,,安徽大学教务处,2009,<html><b>...</b></html>,SO,0,0,6,-1
1,,0,1,0,,安徽大学教学评估办公室,2009,<html><b>...</b></html>,SO,0,0,0,-1
1,,0,1,0,,安徽大学教育部中文学科教学指导委员会,2015,<html><b>...</b></html>,SO,0,0,0,-1
1,,0,1,0,,安徽大学经济法制研究中心,2014,<html><b>...</b></html>,SO,0,0,0,-1
1,,0,1,0,,安徽大学历史系,2018,<html><b>...</b></html>,SO,0,0,0,-1
1,,0,1,0,,安徽大学社会学系,2009,<html><b>...</b></html>,SO,0,0,0,-1
1,,0,1,0,,安徽大学桐城派研究中心,2018,<html><b>...</b></html>,SO,0,0,0,-1
1,,0,1,0,,安徽大学外国语学院,2005,<html><b>...</b></html>,SO,0,0,0,-1
1,,0,1,0,,安徽大学文学院,2015,<html><b>...</b></html>,SO,0,0,0,-1
1,,0,1,0,,安徽大学哲学系,2015,<html><b>...</b></html>,SO,0,0,0,-1
1,,0,1,0,,安徽电子信息职业技术学院教学科研处,2012,<html><b>...</b></html>,SO,0,0,0,-1
1,,0,1,0,,安徽电子信息职业技术学院软件学院,2012,<html><b>...</b></html>,SO,0,0,0,-1
1,,0,1,0,,安徽工程大学艺术学院,2018,<html><b>...</b></html>,SO,0,0,0,-1
1,,0,1,0,,安徽工程科技学院人文社科系,2008,<html><b>...</b></html>,SO,0,0,0,-1
1,,0,1,0,,安徽工业大学高等教育研究所,2005,<html><b>...</b></html>,SO,0,0,0,-1
1,,0,1,0,,安徽工业大学教务处,2009,<html><b>...</b></html>,SO,0,0,0,-1
1,,0,1,0,,安徽工业大学教务处教务科,2009,<html><b>...</b></html>,SO,0,0,0,-1
1,,0,1,0,,安徽淮北煤炭师范学院大学外语部,2005,<html><b>...</b></html>,SO,0,0,0,-1
1,,0,1,0,,安徽理工大学人文社会科学学院,2013,<html><b>...</b></html>,SO,0,0,0,-1
1,,0,1,0,,安徽农业大学,2005,<html><b>...</b></html>,SO,0,0,0,-1
1,,0,1,0,,安徽农业大学基础学院,2005,<html><b>...</b></html>,SO,0,0,0,-1
1,,0,1,0,,安徽农业大学生命科学学院,2006,<html><b>...</b></html>,SO,0,0,0,-1
1,,0,1,0,,安徽商贸职业学院经济贸易系,2011,<html><b>...</b></html>,SO,0,0,0,-1
1,,0,1,0,,安徽省宿州学院文学院,2010,<html><b>...</b></html>,SO,0,0,0,-1
2,,0,1,0,,安徽师范大学,2002,<html><b>...</b></html>,SO,0,0,0,-1
1,,0,1,0,,安徽师范大学地理系,2005,<html><b>...</b></html>,SO,0,0,0,-1
2,,0,1,0,,安徽师范大学古籍整理研究所,2010,<html><b>...</b></html>,SO,0,0,2,-1
1,,0,1,0,,安徽师范大学国土资源与旅游学院,2010,<html><b>...</b></html>,SO,0,0,0,-1
1,,0,1,0,,安徽师范大学团委,2017,<html><b>...</b></html>,SO,0,0,0,-1
11,,0,1,0,,安徽师范大学文学院,2009,<html><b>...</b></html>,SO,0,0,3,-1
1,,0,1,0,,安徽师范大学研究生院,2010,<html><b>...</b></html>,SO,0,0,0,-1
1,,0,1,0,,安庆师范学院,2006,<html><b>...</b></html>,SO,0,0,0,-1
3,,0,1,0,,安庆师范学院教务处,2005,<html><b>...</b></html>,SO,0,0,2,-1
