,0
清华大学,177
北京大学,155
西安交通大学,102
高等教育出版社,91
北京师范大学,68
武汉大学,68
南京大学,68
浙江大学,57
上海交通大学,50
东南大学,49
中国科学院,48
南开大学,46
复旦大学,45
天津大学,42
中国人民大学,42
大连理工大学,41
山东大学,41
哈尔滨工业大学,37
北京航空航天大学,37
湖南大学,36
教育部高等教育司,35
同济大学,34
北京化工大学,33
中山大学,32
华中农业大学,32
西北工业大学,30
中南大学,29
吉林大学,27
厦门大学,26
北京理工大学,26
教育部,25
北京科技大学,24
四川大学,24
华中科技大学,24
国家教委高教司,24
南京农业大学,24
中国工程院,24
西北大学,23
东北师范大学,21
南京工程学院,19
北京联合大学,19
华东师范大学,19
武汉大学文学院,18
中央财经大学,18
国防科技大学,18
华南理工大学,18
西安交通大学计算机教学实验中心,17
内蒙古大学教务处,17
湖南文理学院,17
厦门大学教育研究院,17
南京审计学院,17
中国科学技术大学,17
福州大学,16
湖南工程学院,16
浙江万里学院,16
中国人民大学教务处,16
北京大学信息科学技术学院,15
湖南师范大学,15
兰州大学,15
浙江大学本科生院,14
山东工业大学,14
北京大学中文系,14
河北师范大学,14
东南大学物理系,14
南京农业大学教务处,14
北京师范大学教务处,14
北方交通大学,14
华南师范大学,14
陕西师范大学,13
吉林大学国家级生物实验教学示范中心,13
吉林大学法学院,13
重庆大学教务处,13
西南交通大学,13
华中农业大学教务处,13
华中理工大学,13
浙江大学教务处,12
苏州大学,12
广州大学教务处,12
太原理工大学教务处,12
中国高等教育学会,12
教育部高等学校计算机类专业教学指导委员会,12
北京化工大学教务处,12
南京师范大学,12
南京大学教育研究院,12
西北大学地质学系,12
北京师范大学文学院,12
华中师范大学,12
北京大学教务部,12
华东化工学院,11
重庆大学,11
山西大学,11
西南财经大学,11
南京理工大学教务处,11
武汉大学教务部,11
北京师范大学生命科学学院,11
华北电力大学,11
北京大学哲学系,11
中国农业大学,11
南京大学教务处,11
浙江树人大学教务处,11
北京工业大学教务处,11
南京航空航天大学,11
西安电子科技大学,11
安徽师范大学文学院,11
宁波大学,10
湘潭大学,10
广西大学,10
上海大学土木工程系,10
清华大学教育研究院,10
电子科技大学应用数学学院,10
中国药科大学,10
北京航空航天大学高等教育研究所,10
华中师范大学教务处,10
合肥学院,10
全国高等学校教学研究中心,10
青岛海洋大学,10
沈阳化工大学,10
深圳大学,10
中山大学生命科学学院,10
中国政法大学,10
南京医科大学,10
安徽大学,10
南京大学地理与海洋科学学院,10
中南工业大学,10
南京大学教育科学与管理系,10
北京大学教育学院,10
教育部高等学校计算机基础课程教学指导委员会,10
汕头大学,10
教育部高等学校大学计算机课程教学指导委员会,10
南京理工大学,10
扬州大学教务处,10
华东理工大学,9
北京化工大学经济管理学院,9
浙江师范大学,9
哈尔滨工业大学计算机科学与技术学院,9
湖南大学教务处,9
邵阳学院,9
长春工程学院,9
江苏科技大学,9
德州学院,9
北京师范大学地理学与遥感科学学院,9
北京外国语大学法学院,9
本刊记者,9
中国矿业大学,9
华南师范大学教务处,9
广西师范学院教务处,9
宁波大学教务处,9
华南理工大学教务处,8
吉林大学生命科学学院,8
东南大学教务处,8
广州大学,8
北京交通大学计算机与信息技术学院,8
南京大学外国语学院,8
广西师范学院,8
上海大学,8
北京钢铁学院,8
同济大学理学部物理系,8
武汉理工大学,8
湖北经济学院,8
燕山大学外国语学院,8
东北工学院,8
西北大学公共管理学院,8
清华大学教务处,8
北京工业大学计算机学院,8
复旦大学教务处,8
西北大学经济管理学院,8
厦门大学化学系,8
大连工学院,8
华西医科大学,8
清华大学外语系,8
浙江金融职业学院党委,8
华中师范大学历史文化学院,8
中国农业大学生物学院,7
河海大学,7
天津大学教务处,7
北京航空学院,7
教育部高等学校计算机科学与技术专业教学指导分委员会,7
嘉兴学院教务处,7
山西农业大学教务处,7
中国海洋大学,7
大连理工大学化工学院,7
北京邮电大学,7
南京大学化学化工学院,7
太原理工大学,7
教育部高等学校地球科学教学指导委员会,7
北京工业大学,7
北京工业大学教师教学发展中心工作委员会,7
南京工业学校,7
烟台大学,7
南京农业大学植物学系,7
安徽师范大学,7
北京交通大学,7
南京财经大学,7
内蒙古大学,7
南开大学化学学院,7
南开大学文学院,7
中国纺织大学,7
南开大学生物实验教学中心,7
东北大学,7
北京师范大学现代教育技术研究所,7
武汉大学哲学学院,7
河北大学,7
北京师范大学化学学院,7
上海对外贸易学院,7
西安交通大学教务处,7
北京师范大学教育学部,7
同济大学物理系,7
首都师范大学,7
长春工业大学,6
滨州学院物理系,6
华中农业大学理学院,6
大连理工大学教务处,6
福州大学化学化工学院,6
长沙学院高等教育研究所,6
河南大学,6
中国人民大学外国语学院,6
华南工学院,6
复旦大学外文学院,6
中国石油大学(华东),6
北京大学艺术学院,6
南京大学高等教育研究所,6
北京工业大学建筑工程学院,6
华东冶金学院,6
北京化工大学信息科学与技术学院,6
温州大学教务处,6
北京交通大学经济管理学院,6
北京交通大学教务处,6
南京理工大学理学院,6
清华大学精密仪器与机械学系,6
湖南大学马克思主义学院,6
清华大学,6
