,index,0
0,北京大学,126
1,清华大学,122
2,高等教育出版社,69
3,西安交通大学,63
4,南京大学,52
5,北京师范大学,48
6,东南大学,42
7,武汉大学,41
8,南开大学,39
9,复旦大学,36
10,浙江大学,35
11,大连理工大学,34
12,教育部高等教育司,31
13,中国人民大学,30
14,上海交通大学,29
15,山东大学,29
16,北京航空航天大学,28
17,天津大学,26
18,中国科学院,24
19,教育部,22
20,湖南大学,21
21,西北工业大学,21
22,北京理工大学,21
23,国家教委高教司,21
24,哈尔滨工业大学,20
25,中山大学,19
26,四川大学,19
27,同济大学,19
28,西北大学,19
29,厦门大学,19
30,华中农业大学,18
31,武汉大学文学院,17
32,华中科技大学,16
33,吉林大学,16
34,中央财经大学,15
35,中国人民大学教务处,15
36,中南大学,14
37,华东师范大学,14
38,东北师范大学,14
39,西安交通大学计算机教学实验中心,13
40,厦门大学教育研究院,13
41,山东工业大学,13
42,中国科学技术大学,12
43,湖南文理学院,12
44,北京科技大学,12
45,中国高等教育学会,12
46,北京师范大学文学院,12
47,湖南师范大学,12
48,北京大学中文系,12
49,华南理工大学,12
50,华中农业大学教务处,11
51,北京大学哲学系,11
52,吉林大学法学院,11
53,南京师范大学,11
54,浙江大学本科生院,11
55,中国工程院,11
56,北京联合大学,10
57,兰州大学,10
58,西南交通大学,10
59,浙江万里学院,10
60,南京审计学院,10
61,南京大学教育研究院,10
62,安徽师范大学文学院,10
63,东南大学物理系,10
64,南京农业大学,9
65,苏州大学,9
66,武汉大学教务部,9
67,华中师范大学,9
68,西北大学地质学系,9
69,中南工业大学,9
70,南京大学地理与海洋科学学院,9
71,南京农业大学教务处,9
72,华中师范大学教务处,9
73,北方交通大学,9
74,北京化工大学,9
75,华南师范大学,9
76,西安电子科技大学,9
77,西南财经大学,9
78,华南师范大学教务处,9
79,北京外国语大学法学院,9
80,浙江树人大学教务处,8
81,中山大学生命科学学院,8
82,沈阳化工大学,8
83,北京工业大学计算机学院,8
84,南京工程学院,8
85,北京工业大学教务处,8
86,内蒙古大学教务处,8
87,南京理工大学教务处,8
88,华中理工大学,8
89,本刊记者,8
90,武汉理工大学,8
91,福州大学,8
92,东北工学院,8
93,合肥学院,8
94,广州大学教务处,8
95,广西大学,8
96,中国农业大学,7
97,南京工业学校,7
98,南京大学教务处,7
99,上海大学,7
100,国防科技大学,7
101,太原理工大学,7
102,华南理工大学教务处,7
103,浙江大学教务处,7
104,浙江金融职业学院党委,7
105,燕山大学外国语学院,7
106,东北大学,7
107,陕西师范大学,7
108,德州学院,7
109,中国政法大学,7
110,湖南大学教务处,7
111,深圳大学,7
112,汕头大学,7
113,浙江师范大学,7
114,宁波大学教务处,7
115,南京理工大学,7
116,北京师范大学现代教育技术研究所,7
117,北京大学教务部,7
118,北京航空学院,7
119,山西大学,7
120,广西师范学院教务处,7
121,北京大学艺术学院,6
122,中国人民大学外国语学院,6
123,复旦大学教务处,6
124,北京工业大学建筑工程学院,6
125,安徽大学,6
126,北京师范大学教务处,6
127,扬州大学教务处,6
128,南京大学外国语学院,6
129,暨南大学,6
130,太原理工大学教务处,6
131,中国药科大学,6
132,全国高等学校教学研究中心,6
133,中国矿业大学,6
134,华东化工学院,6
135,清华大学教育研究院,6
136,西安交通大学教务处,6
137,南京大学教育科学与管理系,6
138,国家教委高等教育司,6
139,大连工学院,6
140,湖南工程学院,6
141,长春工业大学,6
142,复旦大学外文学院,6
143,武汉大学哲学学院,6
144,广西师范学院,6
145,吉林大学生命科学学院,6
146,北京交通大学教务处,6
147,首都师范大学,6
148,陕西师范大学教务处,6
149,哈尔滨工业大学计算机科学与技术学院,6
150,北京师范大学地理学与遥感科学学院,6
151,南开大学文学院,6
152,温州大学教务处,6
153,西北大学经济管理学院,6
154,宁波大学,6
155,重庆大学教务处,5
156,河北师范大学,5
157,北京航空航天大学高等教育研究所,5
158,北京工业大学教师教学发展中心工作委员会,5
159,湘潭大学,5
160,华中农业大学理学院,5
161,北京化工大学经济管理学院,5
162,山东师范大学,5
163,北京师范大学化学学院,5
164,南京大学化学化工学院,5
165,同济大学理学部物理系,5
166,华东冶金学院,5
167,北京大学化学与分子工程学院,5
168,武汉大学本科生院,5
169,华东理工大学,5
170,清华大学工程力学系,5
171,北京师范大学法学院,5
172,重庆大学,5
173,哈尔滨学院,5
174,青岛海洋大学,5
175,北京大学教育学院,5
176,北京邮电大学,5
177,河海大学,5
178,北京化工大学教务处,5
179,扬州大学,5
180,北京师范大学生命科学学院,5
181,同济大学物理科学与工程学院,5
182,西安交通大学理学院,5
183,湖南大学教育科学研究院,5
184,北京交通大学计算机与信息技术学院,5
185,烟台大学,5
186,河北大学,5
187,中央财经大学教务处,5
188,电子科技大学应用数学学院,5
189,长沙学院高等教育研究所,5
190,北京大学信息科学技术学院,5
191,清华大学教务处,5
192,西北大学公共管理学院,5
193,郑州工学院,5
194,江苏科技大学,5
195,全国高等学校教学研究会,5
196,兰州大学教育学院,5
197,郑州大学,5
198,华南工学院,5
199,华中师范大学历史文化学院,5
200,华中科技大学教务处,5
201,浙江大学,4
202,黔南民族师范学院中文系,4
203,天津大学教务处,4
204,温州大学外国语学院,4
205,江汉大学,4
206,华北电力大学教务处,4
207,鞍山钢铁学院,4
208,对外经济贸易大学,4
209,华中师范大学化学学院,4
210,同济大学物理系,4
211,广西师范大学文学院,4
212,教育部高教司,4
213,徐州师范大学,4
214,吉林工学院,4
215,南京工学院,4
216,吉林工程技术师范学院,4
217,南京师范大学地理科学学院,4
218,中国纺织大学,4
219,黑龙江工程学院,4
220,桂林电子科技大学,4
221,安徽师范大学,4
222,首都师范大学文学院,4
223,湖南大学马克思主义学院,4
224,大连理工大学教务处,4
225,中国海洋大学,4
226,北京理工大学教务处,4
227,西南师范大学,4
228,内蒙古大学,4
229,西北大学化学与材料科学学院,4
230,云南大学,4
231,武汉大学政治与公共管理学院,4
232,中国人民大学哲学院,4
233,华东师范大学资源与环境科学学院,4
234,浙江丽水学院人文学院,4
235,嘉兴学院教务处,4
236,成都科技大学,4
237,中国农业大学生物学院,4
238,中国人民大学法学院,4
239,吉林工业大学,4
240,南京工业大学,4
241,哈尔滨工业大学计算机科学与技术学院国家级实验教学示范中心,4
242,北京师范大学,4
243,北京大学慕课工作组,4
244,华中师范大学文学院,4
245,温州师范学院,4
246,清华大学,4
247,浙江树人大学,4
248,高等教育出版社机械编辑室,4
249,清华大学化学系,4
250,上海对外贸易学院,4
251,四川大学教务处,4
252,北京化工大学理学院,4
253,无锡职业技术学院,4
254,清华大学精密仪器与机械学系,4
255,南京财经大学,4
256,国家教育委员会,4
257,中国计量学院经济与管理学院,4
258,北京钢铁学院,4
259,中国科技大学,4
260,南京师范大学外国语学院,4
261,中国石油大学(华东),4
262,辽宁大学,4
263,北京农业大学,4
264,湘潭师范学院,4
265,国防科技大学计算机学院,4
266,黑龙江大学,4
267,蚌埠坦克学院,4
268,北京交通大学,4
269,厦门大学化学系,4
270,河南大学,4
271,北京师范大学教育学部,4
272,军械工程学院,4
273,南开大学化学学院,4
274,山东大学威海分校中文系,4
275,西北师范大学,4
276,广东商学院,4
277,承德石油高等专科学校,4
278,四川大学文学与新闻学院,4
279,中国石油大学(华东)教务处,4
280,东南大学外国语学院,4
281,浙江大学生命科学学院,4
282,温州职业技术学院,4
283,北京师范大学物理学系,4
284,国家教委,4
285,中国人民大学新闻学院,3
286,北京师范大学物理系,3
287,华北电力学院,3
288,吉林工程技术师范学院文化传媒学院,3
289,湖北经济学院,3
290,上海财经大学,3
291,北京外国语大学,3
292,成都气象学院,3
293,南京化工动力专科学校,3
294,厦门大学现代教育技术与实践训练中心,3
295,江苏化工学院,3
296,哈尔滨工业大学教务处,3
297,中国地质大学(武汉),3
298,东北财经大学,3
299,邵阳学院评建办,3
300,上海师范大学,3
301,内江师专,3
302,浙江师范大学外国语学院,3
303,陕西机械学院,3
304,山东矿业学院,3
305,上海大学文学院,3
306,浙江金融职业学院,3
307,教育部高等教育教学评估中心,3
308,吉林大学教务处,3
309,厦门大学化学化工学院,3
310,国家教育委员会高等教育司,3
311,绍兴文理学院教务处,3
312,复旦大学高等教育研究所,3
313,深圳大学外国语学院,3
314,温州大学,3
315,临沂师范学院,3
316,西北大学教务处,3
317,山东大学教学促进与教师发展中心,3
318,南昌大学,3
319,华中农业大学,3
320,浙江海洋学院教务处,3
321,华北水电学院,3
322,浙江万里学院教育发展研究中心,3
323,浙江工学院,3
324,汕头大学教务处,3
325,华南理工大学应用化学系,3
326,北京交通大学经济管理学院,3
327,哈尔滨工业大学电气工程及自动化学院电气工程系,3
328,南京邮电学院,3
329,西安空军工程学院,3
330,哈佛大学,3
331,福建龙岩学院,3
