,学校名称,主管部门_y,所在地_y,办学层次_y
2577,山西中医学院,山西省,太原市,本科
2578,辽宁科技大学信息技术学院,辽宁省教育厅,鞍山市,本科
2579,哈尔滨江南职业技术学院,黑龙江省教育厅,哈尔滨市,专科
2580,黑龙江煤炭职业技术学院,黑龙江省,双鸭山市,专科
2581,哈尔滨工程技术职业学院,黑龙江省教育厅,哈尔滨市,专科
2582,民办明达职业技术学院,江苏省教育厅,盐城市,专科
2583,盐城卫生职业技术学院,江苏省,盐城市,专科
2584,苏州港大思培科技职业学院,江苏省教育厅,苏州市,专科
2585,江苏建康职业学院,江苏省,南京市,专科
2586,安徽人口职业学院,安徽省,池州市,专科
2587,三明职业技术学院,福建省,三明市,专科
2588,南昌师范高等专科学校,江西省,南昌市,专科
2589,武当职业学院,湖北省教育厅,十堰市,专科
2590,民办南华工商学院,广东省教育厅,广州市,专科
2591,重庆服装工程职业学院,重庆市教委,重庆市,专科
2592,贵州警官职业学院,贵州省,贵阳市,专科
2593,陕西理工学院,陕西省,汉中市,本科
2594,宁夏司法警官职业学院,宁夏回族自治区,银川市,专科
