,学校名称,主管部门_x,所在地_x,办学层次_x,院校层次,公私属性,出现频数
66,中国社会科学院大学,中国社会科学院,北京市,本科,6,1,0
147,天津体育职业学院,天津市,天津市,专科,6,1,0
148,天津滨海汽车工程职业学院,天津市教委,天津市,专科,6,2,0
269,曹妃甸职业技术学院,河北省教育厅,唐山市,专科,6,2,0
285,山西中医药大学,山西省,太原市,本科,6,1,0
578,吉林水利电力职业学院,吉林省,长春市,专科,6,1,0
579,长春健康职业学院,吉林省教育厅,长春市,专科,6,2,0
642,哈尔滨城市职业学院,黑龙江省教育厅,哈尔滨市,专科,6,2,0
647,黑龙江能源职业学院,黑龙江省,双鸭山市,专科,6,1,0
804,明达职业技术学院,江苏省教育厅,盐城市,专科,6,2,0
826,江苏医药职业学院,江苏省,盐城市,专科,6,1,0
869,苏州百年职业学院,江苏省教育厅,苏州市,专科,6,2,0
877,江苏卫生健康职业学院,江苏省,南京市,专科,6,1,0
891,江苏旅游职业学院,江苏省,扬州市,专科,6,1,0
1114,安徽卫生健康职业学院,安徽省,池州市,专科,6,1,0
1187,三明医学科技职业学院,福建省,三明市,专科,6,1,0
1206,福州墨尔本理工职业学院,福建省教育厅,福州市,专科,6,2,0
1248,豫章师范学院,江西省,南昌市,本科,6,1,0
1250,上饶幼儿师范高等专科学校,江西省,上饶市,专科,6,1,0
1251,抚州幼儿师范高等专科学校,江西省,抚州市,专科,6,1,0
1451,日照航海工程职业学院,山东省教育厅,日照市,专科,6,2,0
1581,濮阳医学高等专科学校,河南省,濮阳市,专科,6,1,0
1582,驻马店幼儿师范高等专科学校,河南省,驻马店市,专科,6,1,0
1583,三门峡社会管理职业学院,河南省,三门峡市,专科,6,1,0
1584,河南轻工职业学院,河南省,郑州市,专科,6,1,0
1585,河南测绘职业学院,河南省,郑州市,专科,6,1,0
1711,长江艺术工程职业学院,湖北省教育厅,荆州市,专科,6,2,0
1714,武汉光谷职业学院,湖北省教育厅,武汉市,专科,6,2,0
1766,湘中幼儿师范高等专科学校,湖南省,邵阳市,专科,6,1,0
1901,深圳北理莫斯科大学,广东省教育厅,深圳市,本科,6,2,0
1902,广东以色列理工学院,广东省教育厅,汕头市,本科,6,2,0
1909,广东南华工商职业学院,广东省,广州市,专科,6,1,0
1987,惠州工程职业学院,广东省,惠州市,专科,6,1,0
1988,广东江门中医药职业学院,广东省,江门市,专科,6,1,0
2063,广西安全工程职业技术学院,广西壮族自治区,南宁市,专科,6,1,0
2082,三亚中瑞酒店管理职业学院,海南省教育厅,三亚市,专科,6,2,0
2145,重庆科技职业学院,重庆市教委,重庆市,专科,6,2,0
2274,贵州警察学院,贵州省,贵阳市,本科,6,1,0
2285,茅台学院,贵州省教育厅,遵义市,本科,6,2,0
2321,贵州装备制造职业学院,贵州省,贵阳市,专科,6,1,0
2322,贵州健康职业学院,贵州省,铜仁市,专科,6,1,0
2323,贵州食品工程职业学院,贵州省,贵阳市,专科,6,1,0
2324,贵州经贸职业技术学院,贵州省,黔南布依族苗族自治州,专科,6,1,0
2325,贵州护理职业技术学院,贵州省,黔南布依族苗族自治州,专科,6,1,0
2358,滇西应用技术大学,云南省,大理白族自治州,本科,6,1,0
2400,云南轻纺职业学院,云南省,昆明市,专科,6,1,0
2401,云南特殊教育职业学院,云南省,昆明市,专科,6,1,0
2402,云南工贸职业技术学院,云南省,昆明市,专科,6,1,0
2403,云南交通运输职业学院,云南省,昆明市,专科,6,1,0
2407,西藏农牧学院,西藏自治区,林芝市,本科,6,1,0
2427,陕西理工大学,陕西省,汉中市,本科,6,1,3
2578,宁夏警官职业学院,宁夏回族自治区,银川市,专科,6,1,0
2583,宁夏体育职业学院,宁夏回族自治区,银川市,专科,6,1,0
2629,博尔塔拉职业技术学院,新疆维吾尔自治区,博尔塔拉蒙古自治州,专科,6,1,0
