,Freq,Author
19,1,安徽工程科技学院人文社科系
23,1,安徽淮北煤炭师范学院大学外语部
28,1,安徽商贸职业学院经济贸易系
37,1,安庆师范学院
38,3,安庆师范学院教务处
39,1,安庆师范学院教育学院
40,1,安庆师范学院外国语学院
43,1,澳大利亚纽卡斯尔大学教育学院
44,1,澳门大学科技学院
45,1,澳门科技大学
46,1,澳门科技大学行政与管理学院
47,1,澳门科技大学基础部
48,2,澳门理工学院
49,1,白求恩医科大学
54,6,北方交通大学
156,1,北京广播学院
157,1,北京国际汉语学院
178,1,北京华文学院
195,1,北京建筑工程学院理学院
196,1,北京建筑工程学院人文社会科学系
219,1,北京教育科学研究院高等教育科学研究所
220,1,北京教育科学研究院高教所
329,1,北京市朝阳区职工大学
330,1,北京市教委
331,1,北京市教委高等教育处
332,1,北京市教委高教处
333,2,北京市教育委员会
334,1,北京市中国特色社会主义世界影响力研究协同创新中心
369,9,本刊记者
390,1,常州校区教务部
391,2,成都大学
392,1,成都电子机械高等专科学校
400,1,成都理工学院
402,1,成都信息工程学院计算机学院
438,1,大连民族学院计算机基础教研室
439,1,大连水产学院
440,1,大连水产学院教务处
441,1,大连水产学院职业技术学院
443,1,大学化学课程教学指导委员会
444,1,德国哥廷根大学法学研究院
451,1,地理科学类教学指导分委员会
452,1,地理科学类专业教学指导分委员会
453,1,第二军医大学
454,1,第三军医大学
455,3,第四军医大学
456,1,第四军医大学教务处
457,1,第四军医大学生物医学工程系计算机教研室
493,1,东大学外国语学院
543,1,对外经贸大学金融学院银行管理系
544,1,番禺理工学院
545,1,番禺职业技术学院现代教育计算中心
546,1,费佛尔大学孔子学院
547,1,凤凰出版传媒集团江苏电子音像出版社
554,1,福建广播电视大学
561,2,福建省教育厅
570,1,福建漳州师范学院外语系
618,1,甘肃省广播电视大学
619,1,甘肃省委党校文史教研部
620,2,赣南师范学院教务处
621,41,高等教育出版社
622,1,高等教育出版社编辑加工部
623,1,高等教育出版社大学文化研究与发展中心
624,1,高等教育出版社党委
625,1,高等教育出版社高等理工出版事业部
626,2,高等教育出版社高等理工出版中心
627,1,高等教育出版社高等理工出版中心电子电气分社
628,1,高等教育出版社高等理工出版中心计算机分社
629,1,高等教育出版社高等理工中心计算机分社
630,1,高等教育出版社高等理工中心建筑与力学分社
631,2,高等教育出版社高等理工中心数学分社
632,1,高等教育出版社海外合作部
633,1,高等教育出版社化学分社
634,2,高等教育出版社计算机分社
635,1,高等教育出版社经管分社
636,1,高等教育出版社理工出版事业部化学分社
637,1,高等教育出版社生命科学分社
638,1,高等教育出版社生命科学与医学出版中心
639,1,高等教育出版社文科出版事业部
640,1,高等教育出版社文科出版事业部文科分社
641,1,高等教育出版社文科出版中心
642,1,高等教育研究室
643,1,高等学校海洋工程类专业教学指导委员会
