,学校名称,出现频数_y
300,朝阳社区学院,1
301,郴州教师进修学院,1
302,成都地质学院,1
303,达县师范高等专科学校,2
304,东北电力学院,2
305,广东省商业,1
306,广西南宁民族学院,1
307,哈尔滨船舶工程学院,5
308,海南师范学院,3
309,汉中师范学院,3
310,河北水利,1
311,河南省洛阳师专化学系,1
312,黑龙江商学院,1
313,黑龙江水利专科学校,1
314,湖南财经专科学校,1
315,湖南工业,1
316,湖南女子大学,2
317,华北水利水电,3
318,华南建设学院,1
319,华中理工大学,13
320,集美大学航海学院,2
321,江西中医学院教务处,1
322,辽宁冶金职业技术,1
323,临沂师范学院,4
324,零陵学院,1
325,南昌航空工业学院,3
326,南京工业技术学校,7
327,南京航务工程专科学校,1
328,南京药学院,1
329,南京邮电学院,3
330,山西经济管理,1
331,陕西理工学院,1
332,上海机械学院,1
333,上海金融学院会计学院,2
334,沈阳工业高等专科学校,2
335,石油物探职业教育学校,1
336,四川师范学院,4
337,四川外国语,1
338,天津职业大学,2
339,武汉地质学院,1
340,武汉水利电力大学,3
341,西南师范大学,1
342,盐城卫生职业技术学院,1
343,浙江财经学院,3
344,浙江树人大学,16
345,镇江高等职业技术学校,1
346,中国科技大学,5
347,中国石油大学,5
348,中国石油大学(华东),4
349,山西省吕梁高等专科学校离石师范分校党委,1
350,南京通信工程学院,1
351,上海城市建设学院,1
352,上海建材学院,1
353,苏州丝绸工学院,1
354,武汉工学院黄石分院,1
