,Freq,Author
2,69,高等教育出版社
12,31,教育部高等教育司
18,24,中国科学院
19,22,教育部
23,21,国家教委高教司
41,13,山东工业大学
45,12,中国高等教育学会
55,11,中国工程院
60,10,南京审计学院
69,9,中南工业大学
73,9,北方交通大学
80,8,浙江树人大学教务处
88,8,华中理工大学
89,8,本刊记者
92,8,东北工学院
97,7,南京工业学校
100,7,国防科技大学
118,7,北京航空学院
132,6,全国高等学校教学研究中心
134,6,华东化工学院
138,6,国家教委高等教育司
139,6,大连工学院
166,5,华东冶金学院
174,5,青岛海洋大学
193,5,郑州工学院
195,5,全国高等学校教学研究会
198,5,华南工学院
208,4,鞍山钢铁学院
213,4,教育部高教司
214,4,徐州师范大学
215,4,吉林工学院
216,4,南京工学院
219,4,中国纺织大学
228,4,西南师范大学
237,4,成都科技大学
240,4,吉林工业大学
247,4,温州师范学院
250,4,浙江树人大学
251,4,高等教育出版社机械编辑室
253,4,上海对外贸易学院
259,4,国家教育委员会
260,4,中国计量学院经济与管理学院
261,4,北京钢铁学院
262,4,中国科技大学
266,4,北京农业大学
267,4,湘潭师范学院
268,4,国防科技大学计算机学院
270,4,蚌埠坦克学院
275,4,军械工程学院
279,4,广东商学院
287,4,国家教委
290,3,华北电力学院
295,3,成都气象学院
296,3,南京化工动力专科学校
298,3,江苏化工学院
304,3,内江师专
306,3,陕西机械学院
307,3,山东矿业学院
310,3,教育部高等教育教学评估中心
313,3,国家教育委员会高等教育司
318,3,临沂师范学院
324,3,浙江海洋学院教务处
325,3,华北水电学院
327,3,浙江工学院
332,3,南京邮电学院
333,3,西安空军工程学院
334,3,哈佛大学
336,3,四川机械工业学校
344,3,漳州师范学院外语系
357,3,安庆师范学院教务处
359,3,江汉石油学院
360,3,国防科学技术大学
364,3,南京建筑工程学院
375,3,南京航空学院
377,3,杭州大学
379,3,武汉化工学院
388,3,湛江师范学院
390,3,淮北煤炭师范学院教务处
393,3,马鞍山钢铁学院
398,3,高等教育出版社教育技术编辑室
410,3,南昌航空工业学院
413,3,中国船舶工业总公司教材编审室
414,3,四川师范学院
426,3,四川省机械工业学校
430,3,中南矿冶学院
440,3,北京市教育委员会
442,3,北京师范学院
445,3,教育部!副部长
446,3,南京气象学院
450,3,四川工业学院
461,3,海南师范学院
469,2,成都大学
471,2,华中理工大学外语系
476,2,景德镇教育学院
487,2,株洲铁路机械学校
489,2,湛江师范学院教育科学学院
492,2,淮阴师范专科学校物理系
493,2,航空航天部教材编审室
503,2,佳木斯工学院
504,2,沈阳电力专科学校电子教研室
505,2,浙江财经学院
513,2,教育部高等教育司理工处
514,2,四川达县师专物理系
519,2,剑桥大学
523,2,江苏省教育厅
528,2,赣南师范学院教务处
531,2,唐山工程技术学院
536,2,石家庄铁道学院
537,2,空军勤务学院
555,2,西安石油学院
556,2,第四军医大学
558,2,武汉科技学院人文社科学院
561,2,教育部高等教育司理工科教育处
575,2,安庆师范学院
576,2,沈阳冶金机械专科学校
577,2,华北航天工业学院
582,2,中国纺织大学机械原理与机械设计教研室
584,2,教育部师范教育司
587,2,北京医科大学
594,2,株洲铁路电机学校
596,2,高等教育出版社政史室
604,2,四川绵阳师专
609,2,福建师大
610,2,天津职业大学
619,2,长沙交通学院
631,2,烟台师范学院
632,2,[美]
635,2,湖南省煤炭工业学校
641,2,镇江师范专科学校
646,2,太原工业大学
647,2,福建广播电视大学
654,2,北京信息工程学院
656,2,福建三明师专
662,2,武汉钢铁学院
666,2,湖南省纺织工业学校
667,2,湖南邵阳师专
668,2,重庆邮电学院
669,2,长沙大学
672,2,华东石油大学
683,2,浙江省教育厅
684,2,吉林职业师范学院
685,2,华东石油学院
688,2,山东滨州师专
689,2,上海应用技术学院教务处
696,2,商丘师专
702,2,上饶师范专科学校
716,2,高等教育出版社文科部
725,2,武汉水运工程学院
726,2,沈阳航空工业学院
728,2,澳门理工学院
729,2,南京气象学院大气物理系
737,2,香港中文大学
738,2,大连海运学院
740,2,上海应用技术学院
741,2,北京广播学院
742,2,山东工业大学教务处
743,2,长春师范学院物理系
750,2,北京农业大学教务处
756,2,孝感学院教务处
759,2,石油大学
762,2,国防科学技术大学理学院数学与系统科学系
763,2,北京经济学院
764,2,鞍山钢铁学院理论力学教研室
772,2,杭州电子工业学院
773,2,上海冶金专科学校
774,2,教育部!部长
777,2,高等教育出版社化学编辑室
784,2,广东商学院法学院
786,2,江苏省教委高教处
794,2,哈尔滨船舶工程学院
801,2,南京农业专科学校
803,2,哈尔滨师专
814,2,华中师大
823,2,人民教育出版社
828,2,武钢职大
829,2,徐州师范大学数学科学学院
835,2,中国计量学院法学院
838,2,教育部高教司财经政法处
839,2,上海纺织高等专科学校
845,2,高等教育出版社政史编辑室
846,2,南通师范学院
847,2,四川联合大学
850,2,石油大学（华东）
851,2,长沙铁道学院
857,2,高等教育出版社力学室
859,2,北京化工学院应用化学系
860,2,沈阳电力专科学校
862,2,香港科技大学
865,2,华中工学院
866,2,鹭江大学
867,2,西安邮电学院
882,2,教育部高等教育司!司长
884,2,怀化师专
885,2,哈尔滨建筑工程学院
889,2,抚顺煤炭工业学校
901,2,湖南城市建设专科学校
917,2,南京建工学院
920,2,东北电力学院外语部
923,2,美
928,2,上海海运学院
929,2,财政部教育司
930,2,教育部高等学校大学计算机课程教学指导委员会
932,2,陕西汉中师院
934,2,石家庄军械工程学院
936,2,江苏盐城教育学院
939,1,湘潭师范学院物理系
943,1,浙江海洋学院发展规划处
947,1,吉林市联合大学教务处
953,1,南平师范高等专科学校
955,1,锦州师范专科学校
956,1,东北水电专科学校电子教研室
957,1,江西景德镇教育学院
961,1,辽阳石油化工高等专科学校
964,1,西南师范学院
970,1,安徽淮北煤炭师范学院大学外语部
976,1,澳门科技大学
980,1,辽宁医学院体育部
981,1,河北教育学院
987,1,央财经大学
989,1,大理师专
994,1,西藏民族学院
995,1,教育部发展规划司
998,1,郑州机械专科学校
1007,1,上海金融学院会计学院
1008,1,漳州师范学院物理与电子信息工程系
1009,1,高等学校工科数学课程教学指导委员会
1017,1,全国高等教育教材建设研究会筹备组
1018,1,扬州工学院
1020,1,西南民族学院
1022,1,山西矿业学院
1027,1,教育部社政司
1032,1,安庆师院
1036,1,大连医学院
1041,1,江西大学教材科
1042,1,澳门科技大学基础部
1043,1,孝感学院院长办公室
1057,1,新疆兵团教育学院
1061,1,国防科技大学计算机系
1062,1,甘肃省酒泉工业学校工民建教研室
1071,1,浙江海洋学院教务处教务科
1073,1,实验教学指导委员会
1077,1,安康师专
1079,1,高等教育出版社文科出版事业部
1080,1,北京动力经济学院信息工程系
1085,1,安徽工程科技学院人文社科系
1088,1,天津化学化工协同创新中心
1089,1,廊坊炮兵导弹学校
1090,1,沈阳工业高等专科学校
1095,1,教育部高等学校文化素质教育指导委员会
1104,1,四川省财政学校专业基础教研室
1107,1,内蒙古财经学院工商管理学院
1110,1,中国计量学院机电工程学院
1113,1,合肥炮兵学院机械系
1114,1,教育部高等学校机械学科教学指导委员会
1118,1,农业部教育司高教处
1123,1,台湾明新科技大学
1125,1,高等教育出版社社长
1127,1,浙江树人大学现代教育技术中心
1133,1,高等教育出版社高等理工出版中心计算机分社
1137,1,天津师范专科学校，政治理论部，马列教研室
1138,1,上海石油化工高等专科学校
1142,1,全国高等工业学校教学信息统计中心
1144,1,航空航天部
1147,1,吉林建筑工程学院
1150,1,锦州工学院
1155,1,武汉水利电力学院
1158,1,抚州师专
1159,1,山东工业大学电子系
1163,1,天津市教育委员会高等教育处
1165,1,四川省教育厅高教处
1170,1,海军工程学院
1172,1,国家教育委员会高等教育司文科教育管理处
1175,1,高等教育出版社!社长、本刊编委会副主任、编审
1179,1,中国科学院研究生院
1180,1,镇江市职业大学
1185,1,武汉水利电力大学
1188,1,阿坝师范专科学校
1192,1,成都无线电机械学校
1193,1,浙江广播电视大学湖州分校
1197,1,南通纺织职业技术学院
1204,1,实验室建设指导委员会
1208,1,武汉地质学院
1211,1,南京利马科技有限公司
1214,1,中国科学院研究生院党委宣传部
1220,1,新疆喀什农业机械化学校
1222,1,福建省税务学校计算机教研室
1224,1,太原市职工钢铁学院教务处
1225,1,国家环保局
1226,1,北京动力经济学院基础部
1230,1,江汉石油学院教务处副处长
1234,1,全国人大
1242,1,国家教委社会科学司
1245,1,中南林学院
1246,1,杭州电子学院
1247,1,四川师范学院生物系
1249,1,高等教育出版社高等理工出版中心
1255,1,大连民族学院计算机基础教研室
1261,1,广东湛江师范学院物理系
1263,1,上海医科大学
1265,1,高等教育出版社理工出版事业部化学分社
1266,1,南京审计学院对外汉语系
1268,1,杭州师范学院３Ｔ课题组
1270,1,长沙水利电力师院
1275,1,高等教育出版社力学编辑室编审
1276,1,湖南省粮校
1288,1,哈尔滨教育学院
