,年份,含课个数,人才培养个数,教学个数
0,1985,17,0,17
1,1986,48,0,43
2,1987,37,1,30
3,1988,28,0,52
4,1989,29,0,48
5,1990,33,0,31
6,1991,48,1,49
7,1992,41,0,53
8,1993,52,3,51
9,1994,52,0,68
10,1995,41,4,80
11,1996,42,1,51
12,1997,34,3,53
13,1998,27,5,35
14,1999,35,5,45
15,2000,33,4,53
16,2001,40,6,64
17,2002,87,16,134
18,2003,141,22,195
19,2004,185,27,235
20,2005,199,30,277
21,2006,206,25,278
22,2007,113,26,268
23,2008,109,37,254
24,2009,100,63,263
25,2010,96,39,234
26,2011,85,40,233
27,2012,119,52,202
28,2013,137,37,180
29,2014,77,37,142
30,2015,95,41,138
31,2016,74,32,130
32,2017,82,34,98
33,2018,43,23,57
