,学校名称,主管部门,所在地,办学层次,院校层次,公私属性,出现频数
0,北京大学,教育部,北京市,本科,1,1,234
1,中国人民大学,教育部,北京市,本科,1,1,86
2,清华大学,教育部,北京市,本科,1,1,215
3,北京交通大学,教育部,北京市,本科,2,1,48
4,北京工业大学,北京市,北京市,本科,2,1,55
5,北京航空航天大学,工业和信息化部,北京市,本科,1,1,64
6,北京理工大学,工业和信息化部,北京市,本科,1,1,45
7,北京科技大学,教育部,北京市,本科,2,1,32
8,北方工业大学,北京市,北京市,本科,4,1,1
9,北京化工大学,教育部,北京市,本科,2,1,37
10,北京工商大学,北京市,北京市,本科,4,1,8
11,北京服装学院,北京市,北京市,本科,4,1,0
12,北京邮电大学,教育部,北京市,本科,2,1,14
13,北京印刷学院,北京市,北京市,本科,4,1,2
14,北京建筑大学,北京市,北京市,本科,4,1,2
15,北京石油化工学院,北京市,北京市,本科,5,1,4
16,北京电子科技学院,中央办公厅,北京市,本科,4,1,0
17,中国农业大学,教育部,北京市,本科,1,1,26
18,北京农学院,北京市,北京市,本科,4,1,1
19,北京林业大学,教育部,北京市,本科,2,1,5
20,北京协和医学院,国家卫生和计划生育委员会,北京市,本科,3,1,0
21,首都医科大学,北京市,北京市,本科,3,1,0
22,北京中医药大学,教育部,北京市,本科,2,1,1
23,北京师范大学,教育部,北京市,本科,1,1,150
24,首都师范大学,北京市,北京市,本科,3,1,14
25,首都体育学院,北京市,北京市,本科,4,1,1
26,北京外国语大学,教育部,北京市,本科,2,1,20
27,北京第二外国语学院,北京市,北京市,本科,4,1,12
28,北京语言大学,教育部,北京市,本科,3,1,7
29,中国传媒大学,教育部,北京市,本科,2,1,13
30,中央财经大学,教育部,北京市,本科,2,1,47
31,对外经济贸易大学,教育部,北京市,本科,2,1,8
32,北京物资学院,北京市,北京市,本科,4,1,2
33,首都经济贸易大学,北京市,北京市,本科,3,1,5
34,外交学院,外交部,北京市,本科,3,1,0
35,中国人民公安大学,公安部,北京市,本科,3,1,1
36,国际关系学院,教育部,北京市,本科,4,1,3
37,北京体育大学,国家体育总局,北京市,本科,2,1,1
38,中央音乐学院,教育部,北京市,本科,2,1,2
39,中国音乐学院,北京市,北京市,本科,3,1,1
40,中央美术学院,教育部,北京市,本科,3,1,1
41,中央戏剧学院,教育部,北京市,本科,3,1,0
42,中国戏曲学院,北京市,北京市,本科,4,1,0
43,北京电影学院,北京市,北京市,本科,3,1,0
44,北京舞蹈学院,北京市,北京市,本科,4,1,0
45,中央民族大学,国家民委,北京市,本科,1,1,3
46,中国政法大学,教育部,北京市,本科,2,1,23
47,华北电力大学,教育部,北京市,本科,2,1,20
48,中华女子学院,中华妇女联合会,北京市,本科,5,1,4
49,北京信息科技大学,北京市,北京市,本科,4,1,7
50,中国矿业大学（北京）,教育部,北京市,本科,2,1,5
51,中国石油大学（北京）,教育部,北京市,本科,2,1,2
52,中国地质大学（北京）,教育部,北京市,本科,1,1,3
53,北京联合大学,北京市,北京市,本科,4,1,18
54,北京城市学院,北京市教委,北京市,本科,5,2,3
55,中国青年政治学院,共青团中央,北京市,本科,4,1,1
56,首钢工学院,北京市,北京市,本科,5,1,0
57,中国劳动关系学院,中华全国总工会,北京市,本科,5,1,1
58,北京吉利学院,北京市教委,北京市,本科,5,2,0
59,首都师范大学科德学院,北京市教委,北京市,本科,5,2,1
60,北京工商大学嘉华学院,北京市教委,北京市,本科,5,2,0
61,北京邮电大学世纪学院,北京市教委,北京市,本科,5,2,0
62,北京工业大学耿丹学院,北京市教委,北京市,本科,5,2,0
63,北京警察学院,北京市,北京市,本科,5,1,0
64,北京第二外国语学院中瑞酒店管理学院,北京市教委,北京市,本科,5,2,0
65,中国科学院大学,中国科学院,北京市,本科,3,1,0
66,中国社会科学院大学,中国社会科学院,北京市,本科,6,1,0
67,北京工业职业技术学院,北京市,北京市,专科,6,1,0
68,北京信息职业技术学院,北京市,北京市,专科,6,1,0
69,北京电子科技职业学院,北京市,北京市,专科,6,1,1
70,北京京北职业技术学院,北京市,北京市,专科,6,1,0
71,北京交通职业技术学院,北京市,北京市,专科,6,1,0
72,北京青年政治学院,北京市,北京市,专科,6,1,1
73,北京农业职业学院,北京市,北京市,专科,6,1,0
74,北京政法职业学院,北京市,北京市,专科,6,1,0
75,北京财贸职业学院,北京市,北京市,专科,6,1,1
76,北京北大方正软件职业技术学院,北京市教委,北京市,专科,6,2,0
77,北京经贸职业学院,北京市教委,北京市,专科,6,2,0
78,北京经济技术职业学院,北京市教委,北京市,专科,6,2,0
79,北京戏曲艺术职业学院,北京市,北京市,专科,6,1,0
80,北京汇佳职业学院,北京市教委,北京市,专科,6,2,0
81,北京科技经营管理学院,北京市教委,北京市,专科,6,2,0
