,0
哈尔滨工业大学,2
电子科技大学教务处,2
教育部高等学校计算机类专业教学指导委员会,2
吉林农业大学,2
南京农业大学,2
华南理工大学,2
教育部,2
教育部高等学校软件工程专业教学指导委员会,2
高等教育出版社,2
教育部高等教育司,1
教育部高等学校化学类专业教学指导委员会,1
桂林理工大学地球科学学院,1
桂林电子科技大学,1
教育部高等学校经济学类专业教学指导委员会,1
教育部高等学校法学类专业教学指导委员会,1
教育部高等学校新闻传播学类专业教学指导委员会,1
教育部高等学校地质学类专业教学指导委员会,1
教育部高等学校化工类专业教学指导委员会,1
江苏科技大学,1
教育部高等学校财政学类专业教学指导委员会,1
扬州大学创新创业学院办公室,1
教育部高等学校中文学科教学指导委员会,1
安徽工程大学艺术学院,1
大连海洋大学,1
天津大学,1
天津大学化工学院,1
天津市教育委员会高等教育处,1
安徽大学历史系,1
安徽大学桐城派研究中心,1
安徽师范大学文学院,1
河北大学历史学院考古系,1
山东大学化学与化工学院,1
常州大学周有光语言文化学院,1
广东省教育厅,1
广东省教育厅高等教育处,1
广西师范学院,1
扬州大学,1
沈阳化工大学,1
河西学院,1
复旦大学外国语言文学学院,1
浙江万里学院文化与传播学院,1
西北大学研究生院,1
西北工业大学外国语学院,1
西北政法大学,1
西南交通大学,1
西南大学,1
西南大学教务处,1
西安交通大学第一附属医院,1
西安交通大学第一附属医院教学部,1
西安电子科技大学,1
贵州理工学院,1
陕西师范大学,1
陕西理工大学文学院,1
食品安全治理协同创新中心办公室,1
首都师范大学文学院,1
高等教育出版社党委,1
苏州大学凤凰传媒学院,1
福建省教育厅,1
福建师范大学教师教育学院,1
清华大学教育研究院,1
浙江工商大学,1
浙江师范大学,1
浙江省社科联,1
浙江科技学院理学院,1
浙江金融职业学院党委,1
深圳大学MOOC办公室,1
清华大学电机系,1
皖西学院法学院,1
湖北工业大学经济与管理学院,1
湖北工业大学经济与管理学院公共管理系,1
湖南商学院,1
湖南商学院教务处,1
湖南工业大学计算机学院,1
电子科技大学英才实验学院,1
大连海事大学,1
四川大学数学学院,1
四川大学马克思主义学院,1
四川大学轻纺与食品学院,1
中国人民大学食品安全治理协同创新中心,1
中国传媒大学新闻传播学部,1
中国外国文学学会教学研究会,1
中国工程院,1
中国建设银行机构业务部,1
中国政法大学,1
中国政法大学法律史学研究院,1
中国高等教育学会,1
中国高等教育学会职教分会,1
中央财经大学,1
中央财经大学金融学院,1
中山大学外国语学院,1
北京交通大学教务处教研科,1
北京大学中国语言学研究中心/中文系,1
北京大学信息科学技术学院,1
中国人民大学考古文博系,1
中国人民大学统计学院,1
中国人民大学法学院,1
上海海洋大学海洋文化与法律学院,1
上海交通大学物理与天文学院,1
上海交通大学电子信息与电气工程学院,1
上海交通大学电子信息与电气工程学院计算机类专业教指委,1
上海大学教务处,1
上海大学继续教育学院,1
上海师范大学哲学与法政学院,1
上海财经大学公共经济与管理学院,1
中国人民大学商学院会计系,1
东北师范大学教育学部,1
东南大学实验室与设备管理处,1
东南大学物理学院,1
东南大学艺术学院,1
中共福建省委教育工委,1
中南财经政法大学金融学院,1
北京大学哲学系,1
北京工业大学,1
北京工业大学教师教学发展中心工作委员会,1
吉林农业大学教师教学发展中心,1
南开大学化学学院,1
南开大学化学学院化学系,1
南开大学文学院,1
南通大学,1
厦门大学化学化工学院,1
合肥工业大学计算机课程教指委,1
吉林大学法学院,1
南京林业大学高等教育研究所,1
同济大学生物信息学系,1
哈尔滨工业大学(威海)计算机学院,1
哈尔滨工业大学威海校区,1
四川大学商学院,1
四川大学商学院教务部,1
上海交通大学慕课研究院,1
南开大学伯苓学院,1
南京林业大学外国语学院,1
北京工业大学经济与管理学院,1
华南农业大学,1
北京理工大学自动化学院,1
北京航空航天大学马克思主义学院,1
北京语言大学人文学部,1
华北电力大学(保定),1
华北电力大学(保定)工程训练中心,1
华北电力大学教务处,1
华南理工大学教务处,1
南京师范大学商学院,1
南京农业大学公共管理学院,1
南京大学外国语学院,1
南京大学教务处,1
南京大学教育研究院,1
南京大学软件学院,1
南京工业大学,1
高等教育出版社高等理工出版事业部,1
