,0
天津大学,3
电子科技大学数学科学学院,2
温州职业技术学院,2
中国人民大学教务处,2
西南财经大学,2
北京工业大学计算机学院,2
南开大学,2
广西师范学院教务处,2
湖南大学机械与运载工程学院,2
北京大学城市与环境学院地理科学研究中心,2
西北大学经济管理学院,2
南京师范大学,2
北京师范大学法学院,2
北京大学,2
安徽师范大学文学院,2
深圳大学教务处,2
武汉大学教务部,2
华中科技大学教育科学研究院,2
中山大学生命科学学院,2
丽水学院,2
燕山大学机械工程学院,2
燕山大学外国语学院,2
河南师范大学化学与环境科学学院,1
江西师范大学法学院,1
河南大学民生学院,1
河北工业大学教务处,1
河南理工大学高等教育研究所,1
河南工业大学设计艺术学院,1
河南商业高等专科学校工商管理系,1
河南工业大学机械工程实验教学中心,1
河南理工大学,1
上海交通大学教务处,1
济南大学化学化工学院,1
浙江大学计算机科学与技术学院,1
浙江树人大学教务处,1
浙江树人大学城建学院,1
浙江机电职业技术学院人事处,1
浙江师范大学高教所,1
浙江师范大学党委,1
浙江工业大学校办,1
浙江工业大学人文学院,1
浙江大学竺可桢学院特殊培养办公室,1
浙江万里学院教务部,1
浙江大学生命科学学院,1
浙江大学物理系,1
浙江大学本科生院,1
浙江大学信息学部,1
浙江大学,1
浙江嘉兴学院,1
浙江万里学院教育发展研究中心,1
浙江农林大学教务处,1
武汉大学艺术学系,1
江苏海事职业技术学院教务处,1
山东大学计算机科学与技术学院,1
广东商学院,1
常熟理工学院高等教育研究所,1
常熟理工学院,1
常州工学院教育学院,1
常州大学怀德学院党委,1
山西师范大学城市与环境科学学院,1
山西大学商务学院数学电子系,1
山东经济学院教务处教学研究科,1
山东大学经济学院,1
广东商学院法学院,1
山东大学生命科学学院,1
山东大学教务处,1
山东大学政治学与公共管理学院行政管理系,1
山东大学威海分校中文系,1
山东大学大学外语教学部,1
对外经济贸易大学教务处,1
对外经济贸易大学,1
安徽省宿州学院文学院,1
广东商学院会计学院,1
广州大学土木工程学院,1
汕头大学教务处,1
晋中学院教务处,1
武汉纺织大学理学院,1
武汉理工大学,1
浙江金融职业学院发展规划处,1
武汉大学文学院,1
武汉大学数学与统计学院,1
桂林电子科技大学,1
暨南大学珠海学院教学科研处,1
暨南大学文学院中文系,1
昆明理工大学管理与经济学院,1
德州学院,1
无锡职业技术学院,1
新乡医学院高等医学教育研究中心,1
教育部高等学校文化素质教育指导委员会,1
教育部高校服装设计与工程专业教学指导委员会,1
教育部南开大学外国教材中心,1
扬州大学教务处,1
成都学院教务处,1
忻州师范学院教务处,1
浙江科技学院教务处教务科,1
清华大学实验物理教学中心,1
海军工程大学教务处,1
西南交通大学,1
西安交通大学理学院,1
西安交通大学党委,1
西安交通大学中文系,1
西安交通大学,1
西南财经大学教务处,1
西南石油大学教务处教学质量管理科,1
西南交通大学物理科学与技术学院,1
西北师范大学教育技术与传播学院,1
西安理工大学计算机学院网络工程系,1
西北工业大学航天学院,1
西北工业大学教务处,1
西北工业大学人文经法学院,1
西北大学经济管理学院西方经济学教研室,1
西北大学地质学系,1
西北大学化学与材料科学学院材料化学部,1
西北大学信息科学与技术学院,1
西安交通大学计算机教学实验中心,1
辽宁大学经济学院,1
淮北职业技术学院教务处,1
长沙理工大学教务处,1
黑龙江农业工程职业学院,1
黄山学院旅游学院,1
青岛理工大学商学院国际商务系,1
集美大学文学院,1
陕西师范大学教务处,1
陕西工业职业技术学院,1
阜阳师范学院,1
长沙学院高等教育研究所,1
连云港职业技术学院督导室,1
长沙学院旅游管理系,1
长春工业大学,1
重庆工商大学数学与统计学院,1
重庆大学艺术学院音乐系,1
重庆大学数学实验教学示范中心,1
重庆大学教务处素质教育办公室,1
重庆医科大学生物医学工程系,1
蚌埠学院教务处,1
肇庆学院教务处,1
绍兴文理学院教务处高教研究所,1
温州大学教务处,1
湖南大学金融学院货币金融系,1
湖南大学文学院,1
湖南大学教务处,1
湖南大众传媒职业技术学院评建办,1
湖南农业大学人文社会科学学院,1
温州大学物理与电子信息工程学院,1
温州大学教师教育学院教育系,1
温州大学外国语学院,1
绍兴文理学院工学院,1
清华大学经济管理学院,1
清华大学精密仪器与机械学系,1
清华大学汽车工程系,1
清华大学人文学院外语系,1
深圳职业技术学院党委办公室,1
淮阴师范学院,1
淮海工学院现代教育技术中心,1
湖南大学马克思主义学院,1
湖南工业大学发展规划处,1
湖南工业职业技术学院评建办,1
湖南工程学院,1
绍兴文理学院元培学院教务处,1
福建工程学院教务处,1
福建农林大学生命科学学院生物科学系,1
福州大学教务处,1
盐城工学院基础教学部,1
电子科技大学数学科学学院党委,1
燕山大学材料科学与工程学院,1
燕山大学文法学院,1
湘潭大学文学与新闻学院,1
湘潭大学教务处教研科,1
湖州师范学院教务处,1
湖南科技大学人文学院,1
湖南文理学院,1
湖南师范大学教育科学学院,1
湖南师范大学外国语学院,1
安徽师范大学研究生院,1
宁波大学国际交流学院,1
安徽师范大学国土资源与旅游学院,1
中山大学医学部,1
北京大学哲学系,1
北京大学化学与分子工程学院,1
北京大学元培学院,1
北京外国语大学法学院,1
北京化工大学理学院,1
北京信息科技大学,1
北京交通大学软件学院,1
北京交通大学计算机学院,1
北京交通大学计算机与信息技术学院,1
北京交通大学教务处,1
内蒙古师范大学传媒学院,1
内蒙古大学数学科学学院,1
内蒙古大学,1
兰州大学,1
九江职业技术学院,1
九江学院政法学院,1
丽水学院党委,1
北京大学法学院,1
北京大学艺术学院,1
北京工业大学后勤处,1
北京理工大学实验室与设备管理处,1
北京邮电大学信息与通信工程学院,1
北京邮电大学,1
北京联合大学教务处,1
北京第二外国语学院教育技术中心计算机教研室,1
北京科技大学生物科学与技术系,1
北京科技大学,1
北京理工大学理学院,1
